target_user_id,label
17,agreeable
22,hostile
23,hostile
27,agreeable
30,hostile
36,agreeable
37,hostile
46,hostile
49,hostile
52,hostile
63,hostile
78,agreeable
80,hostile
83,hostile
84,hostile
87,agreeable
93,agreeable
95,hostile
98,hostile
102,agreeable
105,hostile
111,hostile
113,hostile
116,agreeable
119,hostile
130,agreeable
133,hostile
136,hostile
137,hostile
140,hostile
147,hostile
156,hostile
160,agreeable
170,agreeable
176,hostile
188,hostile
189,hostile
193,agreeable
195,agreeable
196,agreeable
207,hostile
208,agreeable
209,hostile
216,hostile
221,agreeable
233,agreeable
234,hostile
235,hostile
242,agreeable
245,hostile
250,agreeable
262,agreeable
265,hostile
269,hostile
271,agreeable
273,hostile
288,hostile
293,hostile
298,hostile
301,agreeable
304,agreeable
306,hostile
309,agreeable
319,agreeable
321,hostile
324,agreeable
325,hostile
326,hostile
332,agreeable
333,hostile
335,hostile
338,hostile
339,hostile
346,hostile
358,agreeable
360,hostile
361,agreeable
362,hostile
363,hostile
365,hostile
368,hostile
375,agreeable
376,agreeable
379,hostile
382,agreeable
384,hostile
388,agreeable
392,agreeable
400,hostile
432,hostile
442,hostile
446,agreeable
450,hostile
453,agreeable
462,hostile
465,hostile
466,hostile
470,hostile
478,hostile
482,hostile
485,hostile
486,hostile
489,agreeable
492,hostile
505,hostile
508,hostile
524,agreeable
529,hostile
539,hostile
543,hostile
544,hostile
558,hostile
560,hostile
564,hostile
568,hostile
569,hostile
570,agreeable
571,agreeable
585,agreeable
586,hostile
594,agreeable
600,hostile
606,hostile
613,hostile
620,hostile
621,agreeable
635,hostile
639,hostile
649,hostile
651,agreeable
656,agreeable
659,hostile
663,hostile
664,hostile
665,hostile
669,hostile
670,hostile
678,hostile
683,hostile
714,hostile
720,hostile
727,agreeable
741,agreeable
754,hostile
763,hostile
765,hostile
771,hostile
772,hostile
774,agreeable
785,agreeable
801,agreeable
807,agreeable
810,hostile
811,agreeable
818,hostile
822,hostile
825,hostile
827,hostile
834,hostile
840,hostile
848,agreeable
865,hostile
875,agreeable
876,hostile
880,agreeable
881,hostile
890,agreeable
898,hostile
901,agreeable
904,agreeable
905,agreeable
908,hostile
909,hostile
916,hostile
918,hostile
926,hostile
928,agreeable
949,hostile
950,agreeable
961,agreeable
968,agreeable
971,hostile
973,agreeable
978,agreeable
983,hostile
990,hostile
992,agreeable
